,address,country,detailedType.subTypology,detailedType.typology,distance,district,exterior,externalReference,floor,has360,has3DTour,hasLift,hasPlan,hasVideo,latitude,longitude,municipality,neighborhood,newDevelopment,newDevelopmentFinished,numPhotos,operation,price,priceByArea,propertyCode,propertyType,province,showAddress,suggestedTexts.subtitle,suggestedTexts.title,thumbnail,url,features
0,"calle del comte d'urgell, 234",es,,garage,2106,Eixample,False,PLAZA 110 SOTANO B,,False,False,False,False,False,41.3896347,2.1488815,Barcelona,L'Antiga Esquerra de l'Eixample,False,,8,rent,142,,38683271,garage,Barcelona,True,"L'Antiga Esquerra de l'Eixample, Barcelona","Garaje en calle del comte d'urgell, 234",https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/41/3e/02/607583401.jpg,https://www.idealista.com/inmueble/38683271/,['Cubierta']
1,"calle de tarragona, 149 -157",es,,garage,2499,Sants-Montjuïc,False,PLAZA 66 SOTANO B,,False,False,False,False,False,41.3783684,2.1448148999999996,Barcelona,Hostafrancs,False,,13,rent,150,,38681477,garage,Barcelona,True,"Hostafrancs, Barcelona","Garaje en calle de tarragona, 149 -157",https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/36/5b/57/607583350.jpg,https://www.idealista.com/inmueble/38681477/,['Cubierta']
2,"calle de Rocafort, 116",es,,garage,1899,Eixample,False,PLAZA MOTO SOTANO D,,False,False,False,False,False,41.3809127,2.1513318,Barcelona,La Nova Esquerra de l'Eixample,False,,2,rent,38,,82918245,garage,Barcelona,True,"La Nova Esquerra de l'Eixample, Barcelona","Garaje en calle de Rocafort, 116",https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/71/c4/eb/607583291.jpg,https://www.idealista.com/inmueble/82918245/,['Cubierta']
3,mallorca,es,sedanCar,garage,2007,Eixample,False,02PLZGJEMALLORCA,,False,False,True,False,True,41.383536600000006,2.1494311,Barcelona,La Nova Esquerra de l'Eixample,False,,9,rent,109,12,32954188,garage,Barcelona,False,"La Nova Esquerra de l'Eixample, Barcelona",Garaje en mallorca,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/aa/26/dc/607510113.jpg,https://www.idealista.com/inmueble/32954188/,"['Plaza para coche grande', '9 m²', 'Cubierta', 'Con ascensor', ' Puerta automática de garaje ']"
4,"rambla de Volart, 12",es,sedanCar,garage,3470,Horta Guinardó,False,,,False,False,True,False,False,41.4159984,2.1793054,Barcelona,El Guinardó,False,,1,rent,100,8,82915795,garage,Barcelona,True,"El Guinardó, Barcelona","Garaje en rambla de Volart, 12",https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/3d/aa/9f/607546417.jpg,https://www.idealista.com/inmueble/82915795/,[]
5,"avenida d'Espanya, 6",es,sedanCar,garage,12695,Serraparera,False,,,False,False,False,False,False,41.4948224,2.1312775,Cerdanyola del Vallès,,False,,1,rent,65,5,82914559,garage,Barcelona,True,"Serraparera, Cerdanyola del Vallès","Garaje en avenida d'Espanya, 6",https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/5e/99/6d/607524033.jpg,https://www.idealista.com/inmueble/82914559/,[]
6,"VALENCIA, 500",es,carAndMotorcycle,garage,2248,Eixample,False,,,False,False,False,False,False,41.4047799,2.1795972000000003,Barcelona,La Sagrada Família,False,,4,rent,130,10,82914626,garage,Barcelona,True,"La Sagrada Família, Barcelona","Garaje en VALENCIA, 500",https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/f8/28/e4/607524265.jpg,https://www.idealista.com/inmueble/82914626/,"['Plaza para coche y moto', '13 m²', 'Cubierta', ' Puerta automática de garaje ']"
7,"avenida Diagonal, 429",es,sedanCar,garage,2026,Eixample,False,,,False,False,True,False,False,41.394397399999995,2.1525065,Barcelona,L'Antiga Esquerra de l'Eixample,False,,3,rent,120,,82914148,garage,Barcelona,True,"L'Antiga Esquerra de l'Eixample, Barcelona","Garaje en avenida Diagonal, 429",https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/72/8f/f1/607515723.jpg,https://www.idealista.com/inmueble/82914148/,"['Plaza para coche grande', 'Cubierta', 'Con ascensor', ' Puerta automática de garaje ', ' Alarma ', ' Cámaras de seguridad ', ' Personal de seguridad ']"
8,"calle Sepúlveda, 104",es,compactCar,garage,1414,Eixample,False,,,False,False,False,False,False,41.379700899999996,2.1580457,Barcelona,Sant Antoni,False,,4,rent,100,13,82913638,garage,Barcelona,True,"Sant Antoni, Barcelona","Garaje en calle Sepúlveda, 104",https://img3.idealista.com/blur/WEB_LISTING/90/id.pro.es.image.master/e0/34/8f/607506278.jpg,https://www.idealista.com/inmueble/82913638/,[]
9,gran via de les corts catalanes s/n,es,sedanCar,garage,2246,Eixample,False,,,False,False,False,False,False,41.3751072,2.1500001,Barcelona,Sant Antoni,False,,3,rent,80,,33767792,garage,Barcelona,True,"Sant Antoni, Barcelona",Garaje en gran via de les corts catalanes s/n,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/7f/b2/8e/152210223.jpg,https://www.idealista.com/inmueble/33767792/,"['Plaza para coche grande', 'Cubierta', ' Puerta automática de garaje ']"
